model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day,model_key_,fuel_,paint_color_,factorized_model_key,factorized_fuel,factorized_paint_color,factorized_car_type,factorized_private_parking_available,factorized_has_gps,factorized_has_air_conditioning,factorized_automatic_car,factorized_has_getaround_connect,factorized_has_speed_regulator,factorized_winter_tires,factorized_model_key_,factorized_fuel_,factorized_paint_color_
Peugeot,116868,105,diesel,white,estate,False,True,False,False,True,False,True,117,Peugeot,diesel,white,1,0,1,2,1,0,0,0,0,1,0,1,0,1
Peugeot,64486,100,diesel,blue,estate,True,True,False,False,False,False,True,111,Peugeot,diesel,blue,1,0,5,2,0,0,0,0,1,1,0,1,0,5
Peugeot,167013,100,diesel,black,estate,True,True,False,False,False,False,True,111,Peugeot,diesel,black,1,0,0,2,0,0,0,0,1,1,0,1,0,0
Peugeot,319724,90,diesel,grey,estate,True,False,False,False,False,False,True,55,Peugeot,diesel,grey,1,0,4,2,0,1,0,0,1,1,0,1,0,4
Citroën,103683,120,diesel,black,estate,True,True,True,False,False,False,True,102,Citroën,diesel,black,0,0,0,2,0,0,1,0,1,1,0,0,0,0
Citroën,73416,120,diesel,blue,estate,False,True,False,False,False,False,True,130,Citroën,diesel,blue,0,0,5,2,1,0,0,0,1,1,0,0,0,5
Renault,142724,120,diesel,black,estate,True,True,False,False,True,False,True,122,Renault,diesel,black,3,0,0,2,0,0,0,0,0,1,0,3,0,0
Citroën,127017,120,diesel,grey,estate,False,True,False,False,False,False,True,114,Citroën,diesel,grey,0,0,4,2,1,0,0,0,1,1,0,0,0,4
Citroën,151391,120,diesel,grey,estate,False,True,False,False,False,True,True,123,Citroën,diesel,grey,0,0,4,2,1,0,0,0,1,0,0,0,0,4
Renault,88985,135,diesel,grey,estate,True,True,False,False,True,False,True,135,Renault,diesel,grey,3,0,4,2,0,0,0,0,0,1,0,3,0,4
Citroën,186684,120,diesel,brown,estate,True,True,False,False,False,False,True,107,Citroën,diesel,brown,0,0,8,2,0,0,0,0,1,1,0,0,0,8
Renault,156756,120,diesel,black,estate,True,True,False,False,False,False,True,117,Renault,diesel,black,3,0,0,2,0,0,0,0,1,1,0,3,0,0
Citroën,236259,135,diesel,blue,estate,False,False,False,False,False,False,True,80,Citroën,diesel,blue,0,0,5,2,1,1,0,0,1,1,0,0,0,5
Citroën,233375,135,diesel,black,estate,False,True,False,False,False,False,True,98,Citroën,diesel,black,0,0,0,2,1,0,0,0,1,1,0,0,0,0
Peugeot,195032,100,diesel,grey,estate,False,False,False,False,False,False,True,70,Peugeot,diesel,grey,1,0,4,2,1,1,0,0,1,1,0,1,0,4
